^br^pt, -0.2166, -0.1953, -0.1559, -0.1227, -0.1595, -0.1681, -0.1536, -0.1275, -0.1075, -0.1016, -0.1069, -0.0950, -0.0634, -0.0370, -0.0482, -0.0810, -0.0996, -0.1006, -0.1004, -0.1002, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
^dapt, -0.2195, -0.2177, -0.2075, -0.1701, -0.1348, -0.1297, -0.1500, -0.1182, 0.0460, 0.0931, -0.0435, -0.0889, -0.0627, -0.0370, -0.0482, -0.0810, -0.0996, -0.1006, -0.1004, -0.1002, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
^d^lt, -0.2066, -0.2061, -0.2056, -0.1908, -0.1766, -0.1668, -0.1592, -0.1216, 0.0198, 0.0805, -0.0305, -0.0756, -0.0593, -0.0370, -0.0482, -0.0810, -0.0996, -0.1006, -0.1004, -0.1002, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
^gri, -0.2076, -0.1292, 0.2609, 0.3697, -0.1075, -0.1660, -0.1532, -0.1368, -0.1261, -0.1182, -0.1109, -0.0946, -0.0632, -0.0370, -0.0482, -0.0810, -0.0996, -0.1006, -0.1004, -0.1002, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
^lat, -0.2083, -0.2133, -0.2114, -0.1601, -0.0086, -0.0017, -0.1367, -0.1405, -0.1198, -0.0999, -0.0956, -0.0880, -0.0625, -0.0370, -0.0482, -0.0810, -0.0996, -0.1006, -0.1004, -0.1002, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
^part, -0.1785, -0.1803, -0.1962, -0.1720, -0.1366, -0.1311, -0.1503, -0.1401, -0.1185, -0.1002, -0.0972, -0.0889, -0.0627, -0.0370, -0.0482, -0.0810, -0.0996, -0.1006, -0.1004, -0.1002, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
^pil, -0.1928, -0.2008, -0.2098, -0.1993, -0.1784, -0.1663, -0.1582, -0.1416, -0.1233, -0.1114, -0.1070, -0.0936, -0.0632, -0.0370, -0.0482, -0.0810, -0.0996, -0.1006, -0.1004, -0.1002, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
ark, -0.1752, -0.1860, -0.1987, -0.1587, -0.0563, -0.0428, -0.1214, -0.1058, 0.0224, 0.0403, -0.0788, -0.0769, -0.0335, -0.0232, -0.0613, -0.0943, -0.1008, -0.1006, -0.1004, -0.1002, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
ar, -0.1766, -0.1867, -0.1856, -0.1351, 0.0329, 0.0316, -0.1108, -0.1049, 0.0264, 0.0434, -0.0779, -0.0740, -0.0308, -0.0207, -0.0594, -0.0935, -0.1007, -0.1006, -0.1004, -0.1002, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
art, -0.1952, -0.2011, -0.2002, -0.1587, -0.0563, -0.0216, -0.1046, -0.0832, 0.0357, 0.0403, -0.0788, -0.0769, -0.0335, -0.0232, -0.0613, -0.0943, -0.1008, -0.1006, -0.1004, -0.1002, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
art^st, -0.2166, -0.2158, -0.2137, -0.1731, -0.0715, -0.0210, -0.0974, -0.0356, 0.0844, 0.0580, -0.0792, -0.0793, -0.0356, -0.0240, -0.0615, -0.0943, -0.1008, -0.1006, -0.1004, -0.1002, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
^slip, -0.2195, -0.2136, -0.1996, -0.1791, -0.1755, -0.1670, -0.1536, -0.1392, -0.1295, -0.1210, -0.1113, -0.0950, -0.0634, -0.0370, -0.0482, -0.0810, -0.0996, -0.1006, -0.1004, -0.1002, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
bar, -0.1952, -0.1778, -0.1397, -0.1065, -0.1393, -0.1282, -0.0893, -0.0916, -0.1261, -0.1100, 0.0087, 0.0486, -0.0433, -0.0971, -0.1013, -0.1012, -0.1009, -0.1006, -0.1004, -0.1002, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
bark, -0.2071, -0.1937, -0.1636, -0.1323, -0.1474, -0.1290, -0.0903, -0.0924, -0.1266, -0.1105, 0.0061, 0.0464, -0.0451, -0.0979, -0.1014, -0.1012, -0.1009, -0.1006, -0.1004, -0.1002, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
bi, -0.1766, -0.1867, -0.1856, -0.1697, -0.1477, -0.1413, -0.1460, -0.1443, -0.1353, -0.1116, -0.0177, 0.0150, -0.0655, -0.1007, -0.1011, -0.1010, -0.1009, -0.1006, -0.1004, -0.1002, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
bit, -0.1952, -0.2011, -0.2002, -0.1870, -0.1688, -0.1515, -0.1399, -0.1333, -0.1338, -0.1123, -0.0208, 0.0124, -0.0683, -0.1012, -0.1015, -0.1012, -0.1009, -0.1006, -0.1004, -0.1002, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
bist, -0.2083, -0.2133, -0.2127, -0.1936, -0.1638, -0.1497, -0.1520, -0.1456, -0.1365, -0.1128, -0.0234, 0.0100, -0.0698, -0.1014, -0.1015, -0.1012, -0.1009, -0.1006, -0.1004, -0.1002, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
blak, -0.2071, -0.2133, -0.2114, -0.1637, -0.0382, -0.0320, -0.1379, -0.1442, -0.1257, -0.0754, -0.0229, -0.0232, -0.0849, -0.1019, -0.1015, -0.1012, -0.1009, -0.1006, -0.1004, -0.1002, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
bl^d, -0.2083, -0.2133, -0.2125, -0.1695, -0.0752, -0.0622, -0.1379, -0.1470, -0.1302, -0.0857, -0.0101, -0.0107, -0.0843, -0.1019, -0.1015, -0.1012, -0.1009, -0.1006, -0.1004, -0.1002, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
blu, -0.1952, -0.2011, -0.2000, -0.1664, -0.1024, -0.0991, -0.1466, -0.1385, -0.1012, -0.0177, -0.0037, -0.0208, -0.0844, -0.1017, -0.1015, -0.1012, -0.1009, -0.1006, -0.1004, -0.1002, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
-, 0.1738, 0.4237, 0.4511, 0.2154, -0.0562, -0.1282, -0.1282, -0.1282, -0.1284, -0.1232, -0.1096, -0.1010, -0.1008, -0.1007, -0.1006, -0.1005, -0.1005, -0.1005, -0.1004, -0.1002, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
