p, -0.1770, -0.2380, -0.2422, -0.2172, -0.1905, -0.2023, -0.2234, -0.2323, -0.2204, -0.1731, -0.0756, -0.1067, -0.1729, -0.2045, -0.1870, -0.1491, -0.1177, -0.1031, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
b, -0.1770, -0.2379, -0.2414, -0.2059, -0.1459, -0.1791, -0.2203, -0.2321, -0.2180, -0.1481, 0.1190, -0.0252, -0.1618, -0.2043, -0.1880, -0.1505, -0.1190, -0.1031, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
t, -0.1770, -0.2380, -0.2423, -0.2175, -0.1973, -0.2180, -0.2378, -0.2407, -0.2217, -0.1435, 0.1543, -0.0627, -0.1917, -0.2188, -0.1943, -0.1524, -0.1156, -0.0873, -0.0771, -0.0883, -0.0958, -0.0999, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
d, -0.1770, -0.2379, -0.2414, -0.2067, -0.1605, -0.2039, -0.2361, -0.2404, -0.2168, -0.0429, 0.5605, 0.1927, -0.1769, -0.2194, -0.1954, -0.1538, -0.1195, -0.1029, -0.0999, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
k, -0.1770, -0.2379, -0.2403, -0.1869, 0.0165, -0.1474, -0.2216, -0.2272, -0.2048, -0.1655, -0.1359, -0.1603, -0.1986, -0.2137, -0.1883, -0.1412, -0.1034, -0.0818, -0.0941, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
g, -0.1770, -0.2379, -0.2385, -0.1232, 0.6253, 0.2173, -0.2106, -0.2268, -0.2017, -0.1342, -0.0586, -0.1251, -0.1915, -0.2137, -0.1886, -0.1412, -0.1049, -0.0854, -0.0967, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
s, -0.1770, -0.2380, -0.2447, -0.2373, -0.2397, -0.2408, -0.2416, -0.2410, -0.2297, -0.2133, -0.2097, -0.2052, -0.2153, -0.2211, -0.1950, -0.1527, -0.1157, -0.0949, -0.0959, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
S, -0.1770, -0.2380, -0.2445, -0.2359, -0.2376, -0.2389, -0.2404, -0.2403, -0.2317, -0.2256, -0.2277, -0.2116, -0.2017, -0.2058, -0.1881, -0.1453, -0.1092, -0.0914, -0.0974, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
r, -0.1770, -0.2380, -0.2443, -0.2344, -0.2264, -0.1462, 0.5526, 0.2928, -0.1497, -0.2021, -0.2196, -0.1987, -0.1615, -0.1493, -0.1016, 0.0754, 0.1303, 0.0050, -0.0873, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
l, -0.1770, -0.2380, -0.2439, -0.2316, -0.2224, -0.1759, 0.1076, -0.0505, -0.1522, -0.1956, -0.2222, -0.2115, -0.1958, -0.1797, -0.1229, 0.1266, 0.1933, 0.0341, -0.0840, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
a, -0.1770, -0.2380, -0.2439, -0.2310, -0.2258, -0.2192, -0.1968, -0.0448, 0.5669, 0.0749, -0.1903, -0.1614, 0.1545, 0.1819, 0.1529, 0.0941, 0.0001, -0.0617, -0.0948, -0.0999, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
i, -0.1770, -0.2380, -0.2447, -0.2373, -0.2387, -0.2350, -0.2224, -0.1744, -0.0303, -0.0967, -0.1916, -0.1626, 0.0379, 0.0227, -0.0140, -0.0254, -0.0604, -0.0867, -0.0974, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
