p, -0.1664, -0.2303, -0.2363, -0.2067, -0.1553, -0.1595, -0.1889, -0.2021, -0.1819, -0.1219, 0.0477, 0.0174, -0.0581, -0.0950, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
b, -0.1664, -0.2302, -0.2347, -0.1893, -0.0832, -0.1140, -0.1806, -0.2015, -0.1790, -0.0975, 0.1515, 0.0773, -0.0454, -0.0944, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
t, -0.1664, -0.2303, -0.2363, -0.2076, -0.1677, -0.1867, -0.2167, -0.2195, -0.1870, -0.0950, 0.1685, 0.0748, -0.0550, -0.0968, -0.0990, -0.0988, -0.0991, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
d, -0.1664, -0.2302, -0.2347, -0.1915, -0.1085, -0.1583, -0.2121, -0.2189, -0.1817, 0.0069, 0.3265, 0.1735, -0.0328, -0.0957, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
k, -0.1664, -0.2301, -0.2327, -0.1584, 0.1405, -0.0435, -0.1776, -0.1946, -0.1632, -0.1039, -0.0108, -0.0372, -0.0770, -0.0968, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
g, -0.1664, -0.2300, -0.2294, -0.0654, 0.5810, 0.3052, -0.1555, -0.1933, -0.1599, -0.0676, 0.0739, 0.0084, -0.0651, -0.0962, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
s, -0.1664, -0.2304, -0.2407, -0.2353, -0.2362, -0.2314, -0.2265, -0.2208, -0.1976, -0.1595, -0.1240, -0.0994, -0.0972, -0.0980, -0.0991, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
S, -0.1664, -0.2304, -0.2403, -0.2332, -0.2326, -0.2275, -0.2242, -0.2195, -0.2000, -0.1727, -0.1475, -0.1207, -0.1010, -0.0970, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
r, -0.1664, -0.2304, -0.2400, -0.2308, -0.2148, -0.0884, 0.4927, 0.2977, -0.0616, -0.1286, -0.1351, -0.1164, -0.0965, -0.0948, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
l, -0.1664, -0.2304, -0.2393, -0.2270, -0.2089, -0.1274, 0.2321, 0.0893, -0.0725, -0.1180, -0.1332, -0.1194, -0.1014, -0.0974, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
a, -0.1664, -0.2304, -0.2392, -0.2264, -0.2155, -0.1949, -0.1472, 0.0480, 0.3983, 0.1930, -0.0685, -0.1028, -0.0640, -0.0883, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
