p, -0.1766, -0.2378, -0.2422, -0.2172, -0.1895, -0.2010, -0.2226, -0.2316, -0.2192, -0.1709, -0.0691, -0.1003, -0.1656, -0.1967, -0.1769, -0.1373, -0.1099, -0.1010, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
b, -0.1766, -0.2378, -0.2413, -0.2056, -0.1436, -0.1769, -0.2194, -0.2314, -0.2168, -0.1455, 0.1245, -0.0167, -0.1538, -0.1964, -0.1778, -0.1385, -0.1110, -0.1010, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
t, -0.1766, -0.2378, -0.2423, -0.2175, -0.1966, -0.2173, -0.2375, -0.2403, -0.2206, -0.1409, 0.1595, -0.0543, -0.1853, -0.2123, -0.1846, -0.1406, -0.1080, -0.0856, -0.0813, -0.0903, -0.0965, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
d, -0.1766, -0.2378, -0.2413, -0.2065, -0.1587, -0.2026, -0.2358, -0.2401, -0.2156, -0.0392, 0.5521, 0.1963, -0.1694, -0.2127, -0.1857, -0.1421, -0.1117, -0.1009, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
k, -0.1766, -0.2378, -0.2402, -0.1861, 0.0236, -0.1435, -0.2205, -0.2263, -0.2033, -0.1628, -0.1306, -0.1553, -0.1928, -0.2066, -0.1785, -0.1309, -0.0989, -0.0838, -0.0970, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
g, -0.1766, -0.2378, -0.2384, -0.1209, 0.6235, 0.2237, -0.2091, -0.2259, -0.2001, -0.1309, -0.0513, -0.1188, -0.1851, -0.2066, -0.1788, -0.1309, -0.1003, -0.0866, -0.0990, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
s, -0.1766, -0.2379, -0.2448, -0.2376, -0.2400, -0.2409, -0.2415, -0.2406, -0.2289, -0.2117, -0.2072, -0.2021, -0.2108, -0.2147, -0.1853, -0.1410, -0.1079, -0.0930, -0.0965, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
S, -0.1766, -0.2379, -0.2446, -0.2362, -0.2378, -0.2389, -0.2403, -0.2400, -0.2310, -0.2243, -0.2258, -0.2089, -0.1969, -0.1981, -0.1781, -0.1346, -0.1040, -0.0909, -0.0993, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
r, -0.1766, -0.2379, -0.2444, -0.2347, -0.2264, -0.1438, 0.5506, 0.2953, -0.1460, -0.1998, -0.2176, -0.1960, -0.1554, -0.1396, -0.0922, 0.0684, 0.0854, -0.0307, -0.0964, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
l, -0.1766, -0.2379, -0.2440, -0.2318, -0.2223, -0.1741, 0.1169, -0.0429, -0.1488, -0.1930, -0.2200, -0.2089, -0.1911, -0.1719, -0.1151, 0.1060, 0.1307, -0.0128, -0.0954, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000, -0.1000
